model_id;tag;w_bert;w_mdeberta;w_gemma;w_qwen;accuracy;f1_macro;f1_entailment;f1_neutral;f1_contradiction;data_source
Qwen2-7B-Instruct;individual-model;0.0;0.0;0.0;1.0;0.713732286675502;0.7085814231545132;0.7508600917431193;0.6125878922997771;0.7622962854206431;multinli_tr_1_1::validation_matched
bert-base-turkish-cased-allnli_tr;individual-model;1.0;0.0;0.0;0.0;0.7983;0.7979;0.82;0.76;0.82;multinli_tr_1_1::validation_matched
gemma-3-27b-it;individual-model;0.0;0.0;1.0;0.0;0.7401366092364156;0.7319519314188322;0.7764906718692842;0.5936305732484076;0.8257345491388045;multinli_tr_1_1::validation_matched
mDeBERTa-v3-base-mnli-xnli;individual-model;0.0;1.0;0.0;0.0;0.7892751554694668;0.7877823189786793;0.8090075062552127;0.7449432659102121;0.8093961847706133;multinli_tr_1_1::validation_matched
Meta_BiLSTM_12feat_multinli_tr_1_1__validation_matched;stacking-meta-12feat;;;;;0.7994698746049547;0.7988168123023663;0.8189806678383128;0.750236518448439;0.8272332506203474;multinli_tr_1_1::validation_matched
Meta_BiLSTM_16feat_entropy_multinli_tr_1_1__validation_matched;stacking-meta-16feat;;;;;0.800795188092568;0.8001962313819514;0.8204147668774819;0.7509433962264151;0.829230531041957;multinli_tr_1_1::validation_matched
Meta_FlatLSTM_12feat_multinli_tr_1_1__validation_matched;stacking-meta-12feat;;;;;0.8012029768579876;0.8005096484893416;0.8208802456499488;0.7509868940470551;0.8296618057710208;multinli_tr_1_1::validation_matched
Meta_FlatLSTM_16feat_entropy_multinli_tr_1_1__validation_matched;stacking-meta-16feat;;;;;0.7994698746049547;0.7988713238991281;0.8195136243773806;0.7487421383647799;0.8283582089552238;multinli_tr_1_1::validation_matched
Meta_LinearSVC_12feat_multinli_tr_1_1__validation_matched;stacking-meta-12feat;;;;;0.8015088184320522;0.8004267232608685;0.8200228180262408;0.7528198517563648;0.8284375;multinli_tr_1_1::validation_matched
Meta_LinearSVC_16feat_entropy_multinli_tr_1_1__validation_matched;stacking-meta-16feat;;;;;0.7999796105617291;0.7990122740002117;0.8193289360481789;0.7516413130504404;0.8260665729020159;multinli_tr_1_1::validation_matched
Meta_MLP_12feat_multinli_tr_1_1__validation_matched;stacking-meta-12feat;;;;;0.7986542970741156;0.7980299935524607;0.8187958883994126;0.7487018095987411;0.8265922826592282;multinli_tr_1_1::validation_matched
Meta_MLP_16feat_entropy_multinli_tr_1_1__validation_matched;stacking-meta-16feat;;;;;0.8013049240493424;0.800692755684028;0.82063305978898;0.7518891687657431;0.829556038497361;multinli_tr_1_1::validation_matched
Meta_GRU_12feat_multinli_tr_1_1__validation_matched;stacking-meta-12feat;;;;;0.6543790410613821;0.6626279965041585;0.6195293850176197;0.7431105479885968;0.6252440565062592;multinli_tr_1_1::validation_matched
Meta_GRU_16feat_entropy_multinli_tr_1_1__validation_matched;stacking-meta-16feat;;;;;0.7953919869507595;0.7948565460971503;0.8157541399373415;0.7446009389671361;0.8242145593869733;multinli_tr_1_1::validation_matched
Qwen2-7B-Instruct;individual-model;0.0;0.0;0.0;1.0;0.7214249363867684;0.7150243846627489;0.7574112734864301;0.6114805740287015;0.7761813064731151;multinli_tr_1_1::validation_mismatched
bert-base-turkish-cased-allnli_tr;individual-model;1.0;0.0;0.0;0.0;0.8059;0.8051;0.82;0.76;0.83;multinli_tr_1_1::validation_mismatched
gemma-3-27b-it;individual-model;0.0;0.0;1.0;0.0;0.7396437659033079;0.7294714961330998;0.7788993030521509;0.5819870009285051;0.8275281844186437;multinli_tr_1_1::validation_mismatched
mDeBERTa-v3-base-mnli-xnli;individual-model;0.0;1.0;0.0;0.0;0.7978625954198473;0.7958340579029324;0.8213114754098361;0.7447337866976281;0.8214569116013332;multinli_tr_1_1::validation_mismatched
Meta_BiLSTM_12feat_multinli_tr_1_1__validation_mismatched;stacking-meta-12feat;;;;;0.813027989821883;0.8121112469435298;0.8317770435282287;0.7647622087456112;0.8397944885567492;multinli_tr_1_1::validation_mismatched
Meta_BiLSTM_16feat_entropy_multinli_tr_1_1__validation_mismatched;stacking-meta-16feat;;;;;0.813027989821883;0.8120737446039303;0.8340266819681538;0.763787057698438;0.8384074941451991;multinli_tr_1_1::validation_mismatched
Meta_FlatLSTM_12feat_multinli_tr_1_1__validation_mismatched;stacking-meta-12feat;;;;;0.813027989821883;0.8120559569587017;0.8334768877404536;0.7626037013401404;0.8400872817955112;multinli_tr_1_1::validation_mismatched
