Model,Subset,Accuracy,F1 Macro
BERT,9008,0.7501110124333925,0.7434152283359916
BERT,BERT hard,0.0,0.0
mDeBERTa,9008,0.7965142095914742,0.7934750701224781
mDeBERTa,BERT hard,0.3875,0.3303291938814603
Gemma,9008,0.8133880994671403,0.8117332535881135
Gemma,BERT hard,0.67,0.38465755707006916
Qwen,9008,0.8186056838365897,0.8179257977989239
Qwen,BERT hard,0.5475,0.47112748204048754
Best Grid Ensemble,9008,0.8408081705150977,0.8397434190631671
Best Grid Ensemble,BERT hard,0.4475,0.3147811207409359
Best Class-Routed Ensemble,9008,0.8319271758436945,0.8319940225016585
Best Class-Routed Ensemble,BERT hard,0.6875,0.3940578859370974
