method_norm,accuracy_12feat,accuracy_16feat,f1_macro_12feat,f1_macro_16feat
Meta_BiLSTM,0.8387367757038853,0.8408002958421541,0.8382295955614154,0.8403020250811452
Meta_MLP,0.8382232739794787,0.8400881983214372,0.8377318264209755,0.839582856038789
Meta_FlatLSTM,0.8394467526313758,0.8394734229153349,0.8389136171026473,0.8389900526299424
Meta_LinearSVC,0.8345321476506286,0.8343013736281168,0.8336900272602097,0.8335349093674009
Weighted_static_hand_weights,0.7931515900319684,0.7931515900319684,0.78881618242716,0.78881618242716
mDeBERTa,0.7918031655136523,0.7918031655136523,0.7889272991216757,0.7889272991216757
Qwen,0.7762781773441396,0.7762781773441396,0.7737729882623217,0.7737729882623217
Majority_vote,0.7587145809532998,0.7587145809532998,0.7522586889754094,0.7522586889754094
Class_conditional_routing_computed,0.7403207073197772,0.7403207073197772,0.7357679380118249,0.7357679380118249
BERT,0.6809424820086105,0.6809424820086105,0.6675284811734686,0.6675284811734686
Gemma,0.4158575209590958,0.4158575209590958,0.37338007239075177,0.37338007239075177
