method_norm,accuracy_12feat,accuracy_16feat,f1_macro_12feat,f1_macro_16feat
Meta_BiLSTM,0.8460257548845471,0.8511323268206039,0.8459320806573882,0.8511011448611989
Meta_MLP,0.8481349911190054,0.8502442273534636,0.8480981176106465,0.8501784401726087
Meta_FlatLSTM,0.8465808170515098,0.8500222024866785,0.8464462426493308,0.849986720931632
Meta_LinearSVC,0.8392539964476021,0.8390319715808171,0.8390479624744859,0.8388126537131021
Qwen,0.8156083481349912,0.8156083481349912,0.8149914826526845,0.8149914826526845
Weighted_static_hand_weights,0.8138321492007105,0.8138321492007105,0.8123139614442669,0.8123139614442669
mDeBERTa,0.7965142095914742,0.7965142095914742,0.7934750701224781,0.7934750701224781
Class_conditional_routing_computed,0.7734236234458259,0.7734236234458259,0.7704877583894604,0.7704877583894604
Majority_vote,0.7480017761989343,0.7480017761989343,0.7405573213885952,0.7405573213885952
BERT,0.6591918294849023,0.6591918294849023,0.6391899507363303,0.6391899507363303
Gemma,0.3993117229129662,0.3993117229129662,0.3578931802288022,0.3578931802288022
