learner,config,accuracy,f1_macro,delta_vs_baseline,baseline_acc
BiLSTM,No_BERT,0.8472468916518651,0.8471520819391554,0.001221136767317943,0.8460257548845471
BiLSTM,No_Gemma,0.8469138543516874,0.8468756440098583,0.000888099467140302,0.8460257548845471
BiLSTM,Per_model_norm,0.8466918294849023,0.846648110026678,0.000666074600355171,0.8460257548845471
BiLSTM,Only_Qwen_mDeBERTa,0.8440275310834814,0.8438850278617087,-0.001998223801065735,0.8460257548845471
FlatLSTM,No_Gemma,0.8488010657193605,0.8487694955096297,0.002220248667850755,0.8465808170515098
FlatLSTM,Full,0.8480239786856127,0.8479807321081753,0.001443161634102963,0.8465808170515098
FlatLSTM,No_BERT,0.8470248667850799,0.8468945135170767,0.000444049733570151,0.8465808170515098
FlatLSTM,Only_Qwen_mDeBERTa,0.8442495559502664,0.8441201132365844,-0.002331261101243376,0.8465808170515098
MLP,Per_model_norm,0.8472468916518651,0.8471596329788653,-0.000888099467140302,0.8481349911190054
MLP,No_Gemma,0.8468028419182948,0.8467220861296699,-0.001332149200710564,0.8481349911190054
MLP,No_BERT,0.8449156305506217,0.8448023752845728,-0.003219360568383678,0.8481349911190054
MLP,Only_Qwen_mDeBERTa,0.8440275310834814,0.8438674844789483,-0.00410746003552398,0.8481349911190054
