feature,importance,config,method
bert_p1,0.12572860539685293,snli_tr_1_1,MLP_FirstLayerNorm
qwen_p2,0.11599743510091441,snli_tr_1_1,MLP_FirstLayerNorm
bert_p2,0.10626521061128452,snli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p1,0.09081473015678038,snli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p0,0.08898651193547785,snli_tr_1_1,MLP_FirstLayerNorm
qwen_p1,0.08871243303435102,snli_tr_1_1,MLP_FirstLayerNorm
bert_p0,0.08760721980591607,snli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p2,0.07988692970556256,snli_tr_1_1,MLP_FirstLayerNorm
qwen_p0,0.07952731788259697,snli_tr_1_1,MLP_FirstLayerNorm
gemma_p2,0.06905006491885173,snli_tr_1_1,MLP_FirstLayerNorm
gemma_p1,0.0417808041412395,snli_tr_1_1,MLP_FirstLayerNorm
gemma_p0,0.025642737310172088,snli_tr_1_1,MLP_FirstLayerNorm
bert_block,0.2834486970684039,snli_tr_1_1,MLP_PermutationImportance_eval
mdeberta_block,0.0460912052117264,snli_tr_1_1,MLP_PermutationImportance_eval
qwen_block,0.044157166123778534,snli_tr_1_1,MLP_PermutationImportance_eval
gemma_block,0.005394951140065185,snli_tr_1_1,MLP_PermutationImportance_eval
bert_block,0.2841001628664495,snli_tr_1_1,BiLSTM_PermutationImportance_eval
mdeberta_block,0.04692589576547235,snli_tr_1_1,BiLSTM_PermutationImportance_eval
qwen_block,0.04568403908794787,snli_tr_1_1,BiLSTM_PermutationImportance_eval
gemma_block,0.006433224755700318,snli_tr_1_1,BiLSTM_PermutationImportance_eval
bert_p1,0.1986787347612584,snli_tr_1_1,LinearSVC_CoefNorm
bert_p2,0.15562440857128185,snli_tr_1_1,LinearSVC_CoefNorm
bert_p0,0.15207655324108935,snli_tr_1_1,LinearSVC_CoefNorm
qwen_p2,0.08480645107481014,snli_tr_1_1,LinearSVC_CoefNorm
qwen_p0,0.07594778241443492,snli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p0,0.07250758807497519,snli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p1,0.07110917312052117,snli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p2,0.061979855184439395,snli_tr_1_1,LinearSVC_CoefNorm
qwen_p1,0.051661208645087275,snli_tr_1_1,LinearSVC_CoefNorm
gemma_p2,0.03611483882792255,snli_tr_1_1,LinearSVC_CoefNorm
gemma_p1,0.029072925378892774,snli_tr_1_1,LinearSVC_CoefNorm
gemma_p0,0.010420480705286951,snli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p2,0.15830941590235476,multinli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p1,0.15339861427327336,multinli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p0,0.14734812495901828,multinli_tr_1_1,MLP_FirstLayerNorm
qwen_p1,0.09629377082815288,multinli_tr_1_1,MLP_FirstLayerNorm
bert_p2,0.08913859978357568,multinli_tr_1_1,MLP_FirstLayerNorm
bert_p1,0.07064701774114224,multinli_tr_1_1,MLP_FirstLayerNorm
qwen_p0,0.0676676807808721,multinli_tr_1_1,MLP_FirstLayerNorm
qwen_p2,0.0651084490303439,multinli_tr_1_1,MLP_FirstLayerNorm
bert_p0,0.0614200938214155,multinli_tr_1_1,MLP_FirstLayerNorm
gemma_p1,0.03631805656794109,multinli_tr_1_1,MLP_FirstLayerNorm
gemma_p2,0.030574033897312943,multinli_tr_1_1,MLP_FirstLayerNorm
gemma_p0,0.023776142414597305,multinli_tr_1_1,MLP_FirstLayerNorm
mdeberta_block,0.20085635640738095,multinli_tr_1_1,MLP_PermutationImportance_eval
bert_block,0.05586706086247324,multinli_tr_1_1,MLP_PermutationImportance_eval
qwen_block,0.03551840146803957,multinli_tr_1_1,MLP_PermutationImportance_eval
gemma_block,0.0004485676419614615,multinli_tr_1_1,MLP_PermutationImportance_eval
mdeberta_block,0.20277296360485275,multinli_tr_1_1,BiLSTM_PermutationImportance_eval
bert_block,0.05274747680701399,multinli_tr_1_1,BiLSTM_PermutationImportance_eval
qwen_block,0.0319094708940769,multinli_tr_1_1,BiLSTM_PermutationImportance_eval
gemma_block,0.001590376185136133,multinli_tr_1_1,BiLSTM_PermutationImportance_eval
mdeberta_p1,0.16518267771707354,multinli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p0,0.1532486205093922,multinli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p2,0.1469425886042984,multinli_tr_1_1,LinearSVC_CoefNorm
bert_p1,0.12633457020491765,multinli_tr_1_1,LinearSVC_CoefNorm
bert_p0,0.09403219932955922,multinli_tr_1_1,LinearSVC_CoefNorm
bert_p2,0.08435636672936123,multinli_tr_1_1,LinearSVC_CoefNorm
qwen_p2,0.07751797522012471,multinli_tr_1_1,LinearSVC_CoefNorm
qwen_p0,0.07405369228332771,multinli_tr_1_1,LinearSVC_CoefNorm
