learner,config,accuracy,f1_macro,delta_vs_baseline,baseline_acc
BiLSTM,No_Gemma,0.8512433392539964,0.8512073781959534,0.00011101243339250999,0.8511323268206039
BiLSTM,Per_model_norm,0.8506882770870338,0.850651928819762,-0.000444049733570151,0.8511323268206039
BiLSTM,No_BERT,0.8494671403197158,0.8493243838305715,-0.001665186500888094,0.8511323268206039
BiLSTM,Only_Qwen_mDeBERTa,0.8481349911190054,0.8479918446159522,-0.002997335701598547,0.8511323268206039
FlatLSTM,No_Gemma,0.8509103019538188,0.8508884845493374,0.000888099467140302,0.8500222024866785
FlatLSTM,Full,0.8502442273534636,0.8502081577376708,0.000222024866785131,0.8500222024866785
FlatLSTM,No_BERT,0.848690053285968,0.8485373960364878,-0.001332149200710453,0.8500222024866785
FlatLSTM,Only_Qwen_mDeBERTa,0.848690053285968,0.8485177265848667,-0.001332149200710453,0.8500222024866785
MLP,Per_model_norm,0.8505772646536413,0.850535224647316,0.000333037300177641,0.8502442273534636
MLP,No_Gemma,0.8502442273534636,0.8502132566362702,0.0,0.8502442273534636
MLP,No_BERT,0.8475799289520426,0.8473887761245038,-0.002664298401421017,0.8502442273534636
MLP,Only_Qwen_mDeBERTa,0.8472468916518651,0.8470691793338859,-0.002997335701598547,0.8502442273534636
