feature,importance,config,method
entropy_mdeberta,0.12553637921356833,snli_tr_1_1,MLP_FirstLayerNorm
bert_p1,0.10873537631956827,snli_tr_1_1,MLP_FirstLayerNorm
entropy_qwen,0.10028822799738636,snli_tr_1_1,MLP_FirstLayerNorm
qwen_p0,0.0855364288571634,snli_tr_1_1,MLP_FirstLayerNorm
qwen_p2,0.0854805250237057,snli_tr_1_1,MLP_FirstLayerNorm
bert_p2,0.07992405844889192,snli_tr_1_1,MLP_FirstLayerNorm
bert_p0,0.07751508632288678,snli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p1,0.05404636737030737,snli_tr_1_1,MLP_FirstLayerNorm
entropy_bert,0.05390199598243723,snli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p2,0.0504153290598186,snli_tr_1_1,MLP_FirstLayerNorm
entropy_gemma,0.04265734532099743,snli_tr_1_1,MLP_FirstLayerNorm
gemma_p2,0.03183592060036753,snli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p0,0.031211740531099423,snli_tr_1_1,MLP_FirstLayerNorm
gemma_p1,0.026264351319565945,snli_tr_1_1,MLP_FirstLayerNorm
qwen_p1,0.025163842861241858,snli_tr_1_1,MLP_FirstLayerNorm
gemma_p0,0.021487024770993846,snli_tr_1_1,MLP_FirstLayerNorm
bert_block,0.27214983713355045,snli_tr_1_1,MLP_PermutationImportance_eval
mdeberta_block,0.04898208469055374,snli_tr_1_1,MLP_PermutationImportance_eval
qwen_block,0.04043159609120517,snli_tr_1_1,MLP_PermutationImportance_eval
gemma_block,0.00606677524429966,snli_tr_1_1,MLP_PermutationImportance_eval
bert_block,0.27408387622149843,snli_tr_1_1,BiLSTM_PermutationImportance_eval
mdeberta_block,0.04710912052117262,snli_tr_1_1,BiLSTM_PermutationImportance_eval
qwen_block,0.04385179153094463,snli_tr_1_1,BiLSTM_PermutationImportance_eval
gemma_block,0.00600570032573291,snli_tr_1_1,BiLSTM_PermutationImportance_eval
bert_p1,0.18067249622785966,snli_tr_1_1,LinearSVC_CoefNorm
bert_p0,0.14570923722978618,snli_tr_1_1,LinearSVC_CoefNorm
bert_p2,0.14262301801795027,snli_tr_1_1,LinearSVC_CoefNorm
qwen_p2,0.07912081967398665,snli_tr_1_1,LinearSVC_CoefNorm
qwen_p0,0.06964674906827101,snli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p0,0.06823684236695718,snli_tr_1_1,LinearSVC_CoefNorm
mdeberta_p1,0.06578664272654154,snli_tr_1_1,LinearSVC_CoefNorm
