class,block,mean_abs_shap,relative
entailment,bert,0.06386851309600293,0.16776377579070628
entailment,mdeberta,0.15325232576713088,0.402548729774801
entailment,gemma,0.012845953788390563,0.033742537702951464
entailment,qwen,0.15073823615942908,0.39594495672891455
neutral,bert,0.1039501799563987,0.22616325711166588
neutral,mdeberta,0.13221085010691488,0.2876496846684057
neutral,gemma,0.01400780758317822,0.030476632068688093
neutral,qwen,0.2094556888293016,0.45571042614906476
contradiction,bert,0.11793949050051294,0.28334331641734317
contradiction,mdeberta,0.11425311492690382,0.27448699631494494
contradiction,gemma,0.013696754039431033,0.03290571883272763
contradiction,qwen,0.17035299977240703,0.40926396843258184
