feature,mean_abs_shap
qwen_p2,0.0858946000271577
qwen_p1,0.06788920637838972
mdeberta_p2,0.06718127539353612
bert_p1,0.05673154337191622
bert_p2,0.03820159185933946
mdeberta_p1,0.018894076513086305
mdeberta_p0,0.018848267754728677
entropy_bert,0.012373689875151193
bert_p0,0.01063266539410606
entropy_qwen,0.01034825394366067
entropy_mdeberta,0.00932949526555271
qwen_p0,0.006220939423198946
gemma_p0,0.004742945674443397
gemma_p2,0.003402817970907044
gemma_p1,0.0032793148547573432
entropy_gemma,0.00227167553932325
