learner,ablation,n_features,accuracy,f1_macro,delta_vs_baseline,baseline_acc
BiLSTM,No_BERT,8,0.8459147424511545,0.8457140758003548,-0.004218472468916601,0.8501332149200711
BiLSTM,No_mDeBERTa,8,0.8321492007104796,0.8321700246901926,-0.017984014209591503,0.8501332149200711
BiLSTM,Only_Qwen,4,0.8238232682060391,0.823623376123824,-0.026309946714031973,0.8501332149200711
BiLSTM,No_Qwen,8,0.8231571936056838,0.8227287771831101,-0.026976021314387255,0.8501332149200711
BiLSTM,Only_mDeBERTa,4,0.8170515097690941,0.8159930759565781,-0.03308170515097697,0.8501332149200711
FlatLSTM,ProbsOnly,9,0.8489120781527532,0.848860204121996,0.000777087033747792,0.8481349911190054
FlatLSTM,No_Variance,18,0.8472468916518651,0.847146922321876,-0.000888099467140302,0.8481349911190054
FlatLSTM,No_JSDivergence,18,0.8468028419182948,0.8467301123326735,-0.001332149200710564,0.8481349911190054
FlatLSTM,No_Margin,18,0.845803730017762,0.8457054297947887,-0.002331261101243376,0.8481349911190054
MLP,No_Mean,18,0.8496891651865008,0.8496326661316426,0.000888099467140302,0.8488010657193605
MLP,No_Variance,18,0.8495781527531083,0.8495242095973993,0.000777087033747792,0.8488010657193605
MLP,No_JSDivergence,18,0.8490230905861457,0.8489393349599458,0.000222024866785131,0.8488010657193605
MLP,ProhsOnly_NoEngineered,9,0.8484680284191829,0.8483926383579984,-0.000333037300177641,0.8488010657193605
MLP,No_BERT,21,0.8483570159857904,0.8482974104875581,-0.000444049733570151,0.8488010657193605
MLP,No_Margin,18,0.8479129662522202,0.8477982283108146,-0.000888099467140302,0.8488010657193605
MLP,EngineeredOnly_NoProbs,12,0.8479129662522202,0.8478269847061789,-0.000888099467140302,0.8488010657193605
MLP,No_mDeBERTa,21,0.8478019538188277,0.8477544319859119,-0.000999111900532812,0.8488010657193605
MLP,No_Qwen,21,0.8472468916518651,0.8471157267409432,-0.001554174067495473,0.8488010657193605
SVM,No_Mean,18,0.8390319715808171,0.8389515176761279,0.0,0.8390319715808171
SVM,No_Variance,18,0.8389209591474245,0.8387669541310304,-0.00011101243339262101,0.8390319715808171
SVM,ProbsOnly_NoEngineered,9,0.838809946714032,0.8386188448288184,-0.000222024866785131,0.8390319715808171
SVM,No_JSDivergence,18,0.8385879218472468,0.8384892004360394,-0.000444049733570262,0.8390319715808171
SVM,No_Margin,18,0.837588809946714,0.8374709538219319,-0.001443161634103074,0.8390319715808171
