feature,importance,config,method
margin_mdeberta,0.11908039205258275,snli_tr_1_1,MLP_FirstLayerNorm
bert_p1,0.09901671205805754,snli_tr_1_1,MLP_FirstLayerNorm
margin_qwen,0.09227328472149116,snli_tr_1_1,MLP_FirstLayerNorm
bert_p2,0.06400689374703065,snli_tr_1_1,MLP_FirstLayerNorm
qwen_p2,0.06143678445460289,snli_tr_1_1,MLP_FirstLayerNorm
qwen_p0,0.0561488333915882,snli_tr_1_1,MLP_FirstLayerNorm
bert_p0,0.05393129960273687,snli_tr_1_1,MLP_FirstLayerNorm
margin_bert,0.052194661514570286,snli_tr_1_1,MLP_FirstLayerNorm
mean_class2,0.04726705984527327,snli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p1,0.04236513853852681,snli_tr_1_1,MLP_FirstLayerNorm
mean_class0,0.038221165399378046,snli_tr_1_1,MLP_FirstLayerNorm
mean_class1,0.03785351140547516,snli_tr_1_1,MLP_FirstLayerNorm
var_class2,0.033290488860673456,snli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p2,0.03184938306173194,snli_tr_1_1,MLP_FirstLayerNorm
var_class0,0.029849199895821712,snli_tr_1_1,MLP_FirstLayerNorm
var_class1,0.025441061400030888,snli_tr_1_1,MLP_FirstLayerNorm
qwen_p1,0.025095706840604023,snli_tr_1_1,MLP_FirstLayerNorm
js_bert_mdeberta,0.024447807167696064,snli_tr_1_1,MLP_FirstLayerNorm
js_bert_qwen,0.022632507921333905,snli_tr_1_1,MLP_FirstLayerNorm
mdeberta_p0,0.0223973467243658,snli_tr_1_1,MLP_FirstLayerNorm
js_mdeberta_qwen,0.02120076139642858,snli_tr_1_1,MLP_FirstLayerNorm
probs (9),0.427707654723127,snli_tr_1_1,MLP_PermutationImportance_eval
mean (3),0.05855048859934855,snli_tr_1_1,MLP_PermutationImportance_eval
variance (3),0.009446254071661286,snli_tr_1_1,MLP_PermutationImportance_eval
jsdiv (3),0.007166123778501632,snli_tr_1_1,MLP_PermutationImportance_eval
margin (3),0.006575732899022846,snli_tr_1_1,MLP_PermutationImportance_eval
bert_probs,0.20710504885993486,snli_tr_1_1,MLP_PerModel_PermImportance_eval
mdeberta_probs,0.029478827361563553,snli_tr_1_1,MLP_PerModel_PermImportance_eval
qwen_probs,0.026750814332247574,snli_tr_1_1,MLP_PerModel_PermImportance_eval
bert_p1,0.10766281578957658,snli_tr_1_1,LinearSVC_CoefNorm
js_mdeberta_qwen,0.08982307811977801,snli_tr_1_1,LinearSVC_CoefNorm
bert_p2,0.08383375252544083,snli_tr_1_1,LinearSVC_CoefNorm
